Winner,wins_r,losses_r,draws_r,height_cm_r,weight_in_kg_r,reach_in_cm_r,stance_r,significant_strikes_landed_per_minute_r,significant_striking_accuracy_r,significant_strikes_absorbed_per_minute_r,significant_strike_defence_r,average_takedowns_landed_per_15_minutes_r,takedown_accuracy_r,takedown_defense_r,average_submissions_attempted_per_15_minutes_r,wins_b,losses_b,draws_b,height_cm_b,weight_in_kg_b,reach_in_cm_b,stance_b,significant_strikes_landed_per_minute_b,significant_striking_accuracy_b,significant_strikes_absorbed_per_minute_b,significant_strike_defence_b,average_takedowns_landed_per_15_minutes_b,takedown_accuracy_b,takedown_defense_b,average_submissions_attempted_per_15_minutes_b
0,19,7,1,175.26,77.11,187.96,Orthodox,2.36,48.0,2.76,54.0,1.06,40.0,87.0,0.4,20,4,0,182.88,77.11,193.04,Switch,4.36,52.0,2.74,54.0,2.82,45.0,89.0,0.1
1,24,3,0,193.04,83.91,203.2,Switch,3.93,48.0,3.11,56.0,0.05,14.0,77.0,0.1,34,11,0,187.96,83.91,195.58,Southpaw,3.05,61.0,2.05,60.0,0.5,77.0,69.0,0.8
1,16,3,0,162.56,61.23,162.56,Orthodox,3.93,47.0,3.15,60.0,2.07,34.0,83.0,0.2,18,5,0,167.64,61.23,170.18,Orthodox,5.09,41.0,3.47,62.0,1.56,30.0,77.0,0.8
1,25,7,0,180.34,65.77,175.26,Orthodox,7.17,47.0,4.75,59.0,0.27,53.0,84.0,0.3,15,3,0,172.72,65.77,175.26,Switch,4.19,38.0,6.66,49.0,0.95,23.0,56.0,1.2
1,21,9,0,193.04,107.95,195.58,Orthodox,4.49,47.0,3.33,56.0,0.3,50.0,81.0,0.1,15,6,0,187.96,119.75,190.5,Southpaw,3.98,49.0,4.98,43.0,0.0,0.0,54.0,0.0
0,32,15,0,172.72,77.11,177.8,Southpaw,3.52,47.0,3.19,60.0,2.01,35.0,56.0,0.6,20,4,0,182.88,77.11,193.04,Switch,4.36,52.0,2.74,54.0,2.82,45.0,89.0,0.1
1,47,19,0,193.04,120.2,203.2,Orthodox,3.67,64.0,2.44,57.0,1.42,55.0,73.0,0.8,18,2,0,190.5,116.57,213.36,Southpaw,8.21,48.0,4.61,55.0,0.0,0.0,75.0,0.0
1,22,3,0,180.34,106.59,182.88,Orthodox,4.25,52.0,2.92,54.0,1.83,44.0,80.0,0.4,27,12,0,190.5,117.93,200.66,Orthodox,2.43,50.0,2.48,40.0,0.53,26.0,53.0,0.0
0,23,9,0,185.42,83.91,195.58,Southpaw,3.51,47.0,3.05,51.0,3.14,33.0,85.0,0.6,24,3,0,193.04,83.91,203.2,Switch,3.93,48.0,3.11,56.0,0.05,14.0,77.0,0.1
1,29,0,0,177.8,70.31,177.8,Orthodox,4.1,48.0,1.75,65.0,5.32,48.0,84.0,0.8,22,6,0,175.26,70.31,187.96,Southpaw,5.32,49.0,4.66,54.0,0.67,55.0,66.0,0.1
0,27,3,1,160.02,56.7,167.64,Orthodox,3.43,54.0,1.66,67.0,3.35,56.0,65.0,0.5,16,3,0,162.56,61.23,162.56,Orthodox,3.93,47.0,3.15,60.0,2.07,34.0,83.0,0.2
